ID,estuary,tran,plot,RTKele,MLLW,MHHW,TR,filter2,elrelHW
76,Grand_Bay,7,76,0.392,-0.1083,0.3691,0.4774,1,0.0229055
77,Grand_Bay,7,77,0.405,-0.1083,0.3691,0.4774,1,0.0359055
78,Grand_Bay,7,78,0.411,-0.1083,0.3691,0.4774,1,0.0419055
79,Grand_Bay,7,79,0.589,-0.1083,0.3691,0.4774,1,0.219906
80,Grand_Bay,7,80,0.596,-0.1083,0.3691,0.4774,1,0.226906
81,Grand_Bay,7,81,0.581,-0.1083,0.3691,0.4774,1,0.211906
82,Grand_Bay,7,82,0.591,-0.1083,0.3691,0.4774,1,0.221906
83,Grand_Bay,7,83,0.522,-0.1083,0.3691,0.4774,1,0.152906
84,Grand_Bay,7,84,0.513,-0.1083,0.3691,0.4774,1,0.143906
85,Grand_Bay,7,85,0.506,-0.1083,0.3691,0.4774,1,0.136906
86,Grand_Bay,7,86,0.48,-0.1083,0.3691,0.4774,1,0.110906
87,Grand_Bay,7,87,0.5,-0.1083,0.3691,0.4774,1,0.130906
88,Grand_Bay,7,88,0.476,-0.1083,0.3691,0.4774,1,0.106906
89,Grand_Bay,7,89,0.527,-0.1083,0.3691,0.4774,1,0.157906
90,Grand_Bay,7,90,0.515,-0.1083,0.3691,0.4774,1,0.145906
91,Lower_Laguna_Madre,1,1,-0.036,-0.0695,0.0079,0.0774,0,-0.043906
92,Lower_Laguna_Madre,1,2,0.005,-0.0695,0.0079,0.0774,0,-0.00290602
93,Lower_Laguna_Madre,1,3,0.282,-0.0695,0.0079,0.0774,1,0.274094
94,Lower_Laguna_Madre,1,4,0.251,-0.0695,0.0079,0.0774,1,0.243094
95,Lower_Laguna_Madre,1,5,0.223,-0.0695,0.0079,0.0774,1,0.215094
96,Lower_Laguna_Madre,1,6,0.237,-0.0695,0.0079,0.0774,1,0.229094
97,Lower_Laguna_Madre,1,7,0.18,-0.0695,0.0079,0.0774,1,0.172094
98,Lower_Laguna_Madre,1,8,0.252,-0.0695,0.0079,0.0774,1,0.244094
99,Lower_Laguna_Madre,1,9,0.238,-0.0687,0.0079,0.0766,1,0.230094
100,Lower_Laguna_Madre,1,10,0.293,-0.0687,0.0079,0.0766,1,0.285094
101,Lower_Laguna_Madre,1,11,0.302,-0.0687,0.0079,0.0766,1,0.294094
102,Lower_Laguna_Madre,1,12,0.308,-0.0687,0.0079,0.0766,1,0.300094
103,Lower_Laguna_Madre,1,13,0.355,-0.0687,0.0079,0.0766,1,0.347094
104,Lower_Laguna_Madre,1,14,0.354,-0.0687,0.0079,0.0766,1,0.346094
105,Lower_Laguna_Madre,1,15,0.405,-0.0687,0.0079,0.0766,1,0.397094
106,Lower_Laguna_Madre,1,16,0.381,-0.0687,0.0079,0.0766,1,0.373094
107,Lower_Laguna_Madre,1,17,0.391,-0.0687,0.0079,0.0766,1,0.383094
108,Lower_Laguna_Madre,1,18,0.275,-0.0687,0.0079,0.0766,1,0.267094
109,Lower_Laguna_Madre,1,19,0.262,-0.0687,0.0079,0.0766,1,0.254094
110,Lower_Laguna_Madre,1,20,0.291,-0.0687,0.0079,0.0766,1,0.283094
111,Lower_Laguna_Madre,1,21,0.378,-0.0687,0.0085,0.0772,0,0.36949
112,Lower_Laguna_Madre,1,22,0.435,-0.0687,0.0085,0.0772,0,0.42649
113,Lower_Laguna_Madre,1,23,0.373,-0.0687,0.0085,0.0772,0,0.36449
114,Lower_Laguna_Madre,1,24,0.274,-0.0687,0.0085,0.0772,0,0.26549
115,Lower_Laguna_Madre,1,25,0.253,-0.0687,0.0085,0.0772,1,0.24449
116,Lower_Laguna_Madre,1,26,0.265,-0.0687,0.0091,0.0778,1,0.255943
117,Lower_Laguna_Madre,1,27,0.229,-0.0687,0.0091,0.0778,1,0.219943
118,Lower_Laguna_Madre,2,28,-0.036,-0.0601,0.0071,0.0672,0,-0.0431175
119,Lower_Laguna_Madre,2,29,0.016,-0.0601,0.0071,0.0672,0,0.0088825
120,Lower_Laguna_Madre,2,30,0.098,-0.0601,0.0071,0.0672,1,0.0908825
121,Lower_Laguna_Madre,2,31,0.164,-0.0601,0.0071,0.0672,1,0.156882
122,Lower_Laguna_Madre,2,32,0.284,-0.0601,0.0071,0.0672,1,0.276882
123,Lower_Laguna_Madre,2,33,0.329,-0.0601,0.0071,0.0672,1,0.321883
124,Lower_Laguna_Madre,2,34,0.369,-0.0601,0.0071,0.0672,1,0.361883
125,Lower_Laguna_Madre,2,35,0.4875,-0.0601,0.0071,0.0672,0,0.480383
126,Lower_Laguna_Madre,2,36,0.8885,-0.0601,0.0071,0.0672,0,0.881383
127,Lower_Laguna_Madre,3,37,-0.463,-0.2693,0.1292,0.3985,0,-0.592217
128,Lower_Laguna_Madre,3,38,-0.368,-0.2693,0.1292,0.3985,0,-0.497217
129,Lower_Laguna_Madre,3,39,-0.245,-0.2693,0.1292,0.3985,0,-0.374217
130,Lower_Laguna_Madre,3,40,-0.08,-0.2693,0.1292,0.3985,0,-0.209217
131,Lower_Laguna_Madre,3,41,-0.117,-0.2693,0.1292,0.3985,0,-0.246217
132,Lower_Laguna_Madre,3,42,-0.11,-0.2693,0.1292,0.3985,0,-0.239217
133,Lower_Laguna_Madre,3,43,-0.043,-0.2693,0.1292,0.3985,1,-0.172217
134,Lower_Laguna_Madre,3,44,0.007,-0.2693,0.1292,0.3985,1,-0.122217
135,Lower_Laguna_Madre,3,45,0.047,-0.2693,0.1288,0.398,1,-0.0817679
136,Lower_Laguna_Madre,3,46,0.059,-0.2672,0.1288,0.396,1,-0.0697679
137,Lower_Laguna_Madre,3,47,0.149,-0.2672,0.1288,0.396,1,0.0202321
138,Lower_Laguna_Madre,4,48,-0.117,-0.2711,0.131,0.4021,0,-0.247958
139,Lower_Laguna_Madre,4,49,-0.162,-0.2711,0.131,0.4021,0,-0.292958
140,Lower_Laguna_Madre,4,50,-0.107,-0.2711,0.131,0.4021,0,-0.237958
141,Lower_Laguna_Madre,4,51,0.045,-0.2727,0.131,0.4036,1,-0.0859582
142,Lower_Laguna_Madre,4,52,0.04,-0.2727,0.131,0.4036,1,-0.0909582
143,Lower_Laguna_Madre,4,53,0.076,-0.2727,0.1319,0.4046,1,-0.0559311
144,Lower_Laguna_Madre,4,54,0.192,-0.2727,0.1319,0.4046,1,0.0600689
145,Lower_Laguna_Madre,4,55,0.436,-0.2727,0.1319,0.4046,1,0.304069
146,Lower_Laguna_Madre,4,56,0.336,-0.2727,0.1319,0.4046,1,0.204069
